iter	Logloss
0	0.6775410365
1	0.662438724
2	0.6479018569
3	0.6346421535
4	0.6223349534
5	0.610957435
6	0.6000440778
7	0.5897079542
8	0.5798569187
9	0.5711214492
10	0.5622743659
11	0.5542525095
12	0.5474497323
13	0.5406100303
14	0.5339058203
15	0.5279480787
16	0.5224099814
17	0.5171288868
18	0.5118156342
19	0.5072008085
20	0.5026779525
21	0.4983613726
22	0.4941718746
23	0.491283161
24	0.4873498756
25	0.483594568
26	0.4802623974
27	0.4777298018
28	0.4752465439
29	0.4725866522
30	0.4700410219
31	0.4672704427
32	0.4646346482
33	0.4624370975
34	0.4606295086
35	0.4584330568
36	0.4564900362
37	0.4544260135
38	0.4521634195
39	0.4504103252
40	0.4487069818
41	0.4473237564
42	0.4457256323
43	0.444462498
44	0.4429039787
45	0.4415737505
46	0.4402493829
47	0.438843081
48	0.4376890448
49	0.4364916942
50	0.4353299927
51	0.4342253314
52	0.4329923553
53	0.4318400199
54	0.4307813284
55	0.4298299774
56	0.4290526991
57	0.428350989
58	0.4273498957
59	0.4265951197
60	0.4257805714
61	0.4249470433
62	0.4242532162
63	0.4235374901
64	0.4229355574
65	0.4226540066
66	0.4219543961
67	0.4212949812
68	0.4206315645
69	0.4203224612
70	0.4197147093
71	0.4191777205
72	0.4185893196
73	0.4179958494
74	0.4174317145
75	0.4167949631
76	0.4163591836
77	0.4162401446
78	0.4158256764
79	0.4152887696
80	0.4147774663
81	0.4143861791
82	0.4139791265
83	0.4135183994
84	0.4131849904
85	0.4128489238
86	0.4124883014
87	0.4121424248
88	0.4117722626
89	0.411249102
90	0.4108435421
91	0.4105007426
92	0.4101861653
93	0.4099065804
94	0.4094184429
95	0.4090164474
96	0.4086443701
97	0.4082840091
98	0.4079257748
99	0.4076550804
100	0.4073486842
101	0.4069935717
102	0.4067500775
103	0.4063909314
104	0.4061218755
105	0.4057950617
106	0.4055595819
107	0.4053582886
108	0.4051494307
109	0.4048204968
110	0.4046032788
111	0.4042741156
112	0.4040002845
113	0.4037724751
114	0.4035249469
115	0.4034072154
116	0.4031040735
117	0.4028465548
118	0.402669074
119	0.4024280764
